연도,구,거주인구,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수,뺑소니_발생건수,뺑소니_부상자수,뺑소니_사망자수,자전거_발생건수,자전거_사망자수,자전거_부상자수,눈_발생건수,맑음_발생건수,비_발생건수,흐림_발생건수,눈_사상자수,맑음_사상자수,비_사상자수,흐림_사상자수,화재_소계,버스계_발생건수,승용계_발생건수,화물계_발생건수,버스계_사상자수,승용계_사상자수,화물계_사상자수,차대사람_발생건수,차대차_발생건수,차량단독_발생건수,차대사람_사상자수,차대차_사상자수,차량단독_사상자수,인구 10만명당 부상자수 (명)_x,인구 10만명당 사망자수 (명)_x,자동차 1만대당 발생건수 (건)_x,발생건수,부상자수,사망자수
2015,강서구,595215.0,253.0,2.0,28.0,0.0,19.0,1.0,95.0,1.0,152.0,3.0,43.0,65.0,1.0,245.0,1.0,267.0,2.0,1757.0,128.0,43.0,3.0,2530.0,185.0,53.0,262.0,,,,,,,531.0,1329.0,72.0,556.0,2134.0,84.0,463.7,2.0,92.2,1932.0,2762.0,12.0
2016,강서구,599344.0,136.0,1.0,13.0,0.0,11.0,0.0,38.0,1.0,287.0,4.0,14.0,28.0,0.0,203.0,1.0,211.0,4.0,1588.0,62.0,29.0,4.0,2100.0,85.0,45.0,337.0,,,,,,,471.0,1139.0,81.0,495.0,1644.0,104.0,370.4,2.2,78.7,1691.0,2230.0,13.0
2017,강서구,606681.0,128.0,1.0,29.0,0.0,42.0,0.0,69.0,2.0,146.0,3.0,25.0,40.0,0.0,162.0,3.0,176.0,7.0,1442.0,60.0,60.0,11.0,1971.0,87.0,78.0,335.0,96.0,1016.0,29.0,124.0,1462.0,38.0,402.0,1125.0,57.0,423.0,1681.0,63.0,354.3,2.0,71.8,1584.0,2155.0,12.0
2018,강서구,606005.0,154.0,1.0,23.0,0.0,21.0,0.0,47.0,1.0,167.0,3.0,31.0,43.0,1.0,103.0,2.0,105.0,9.0,1314.0,104.0,70.0,15.0,1913.0,163.0,123.0,359.0,106.0,990.0,24.0,193.0,1482.0,33.0,387.0,1052.0,63.0,418.0,1719.0,82.0,365.8,1.8,67.4,1502.0,2208.0,11.0
2019,강서구,600907.0,196.0,4.0,29.0,0.0,39.0,0.0,51.0,3.0,154.0,6.0,56.0,71.0,0.0,161.0,1.0,173.0,6.0,1554.0,110.0,120.0,15.0,2133.0,135.0,174.0,308.0,121.0,1155.0,38.0,192.0,1599.0,55.0,469.0,1298.0,62.0,495.0,1933.0,83.0,416.4,3.3,81.9,1829.0,2491.0,20.0
2020,강서구,591085.0,154.0,4.0,10.0,0.0,37.0,0.0,43.0,2.0,159.0,4.0,56.0,71.0,0.0,165.0,2.0,176.0,2.0,1367.0,112.0,51.0,3.0,1853.0,155.0,65.0,195.0,74.0,965.0,42.0,110.0,1362.0,59.0,346.0,1179.0,50.0,363.0,1726.0,59.0,363.7,2.9,70.2,1575.0,2131.0,17.0
2021,강서구,581708.0,149.0,4.0,23.0,0.0,25.0,1.0,30.0,0.0,118.0,3.0,60.0,86.0,0.0,187.0,2.0,198.0,8.0,1324.0,92.0,65.0,11.0,1802.0,141.0,87.0,202.0,68.0,885.0,41.0,92.0,1275.0,59.0,340.0,1121.0,40.0,363.0,1645.0,47.0,352.2,2.2,66.8,1501.0,2042.0,13.0
2022,강서구,576835.0,197.0,5.0,22.0,1.0,31.0,0.0,27.0,0.0,121.0,3.0,33.0,54.0,0.0,222.0,1.0,246.0,3.0,1438.0,84.0,41.0,4.0,1894.0,110.0,57.0,182.0,100.0,965.0,41.0,121.0,1332.0,59.0,386.0,1178.0,42.0,414.0,1660.0,49.0,366.8,2.6,71.1,1606.0,2108.0,15.0
2023,강서구,571224.0,168.0,2.0,14.0,0.0,21.0,0.0,29.0,0.0,104.0,2.0,43.0,65.0,0.0,156.0,0.0,164.0,3.0,1350.0,95.0,34.0,3.0,1866.0,144.0,51.0,224.0,93.0,981.0,43.0,133.0,1430.0,60.0,330.0,1153.0,35.0,343.0,1743.0,35.0,371.3,1.6,67.7,1518.0,2112.0,9.0
2024,강서구,564500.0,259.0,6.0,10.0,0.0,18.0,0.0,11.0,0.0,87.0,2.0,34.0,57.0,0.0,218.0,0.0,232.0,3.0,1306.0,98.0,45.0,5.0,1753.0,142.0,63.0,174.0,,,,,,,379.0,1145.0,49.0,400.0,1702.0,57.0,374.0,2.0,68.0,1574.0,2143.0,16.0
2025,강서구,560094.0,271.0,6.0,8.0,0.0,16.0,0.0,6.0,0.0,75.0,2.0,33.0,56.0,0.0,225.0,0.0,240.0,3.0,1279.0,98.0,42.0,4.0,1705.0,142.0,58.0,158.0,,,,,,,372.0,1140.0,48.0,392.0,1686.0,54.0,371.0,2.0,66.0,1560.0,2117.0,16.0
2026,강서구,560094.0,269.0,6.0,7.0,0.0,16.0,0.0,4.0,0.0,71.0,2.0,30.0,51.0,0.0,229.0,0.0,245.0,2.0,1253.0,97.0,38.0,2.0,1655.0,138.0,49.0,154.0,,,,,,,363.0,1130.0,47.0,383.0,1660.0,53.0,364.0,2.0,64.0,1541.0,2081.0,16.0
2005,관악구,567440.0,214.0,5.0,27.0,0.0,26.0,3.0,27.0,0.0,195.0,9.0,103.0,154.0,3.0,37.0,0.0,38.0,,,,,,,,,,,,,,,,448.0,1149.0,47.0,479.0,1835.0,60.0,437.2,4.7,120.7,1644.0,2349.0,25.0
2006,관악구,563742.0,103.0,1.0,114.0,0.0,40.0,0.0,62.0,0.0,172.0,2.0,65.0,107.0,0.0,47.0,1.0,49.0,,,,,,,,,120.0,,,,,,,452.0,1181.0,36.0,480.0,1867.0,41.0,435.2,2.2,119.6,1669.0,2376.0,12.0
2007,관악구,560044.0,85.0,3.0,91.0,0.0,71.0,0.0,65.0,0.0,224.0,7.0,76.0,125.0,2.0,51.0,1.0,51.0,,,,,,,,,191.0,,,,,,,502.0,1297.0,45.0,536.0,2017.0,62.0,471.5,3.3,131.0,1844.0,2597.0,18.0
2008,관악구,553449.0,57.0,0.0,76.0,0.0,78.0,0.0,97.0,2.0,276.0,5.0,61.0,107.0,0.0,94.0,0.0,99.0,,,,,,,,,255.0,,,,,,,540.0,1337.0,67.0,575.0,2068.0,80.0,491.1,2.4,138.2,1944.0,2710.0,13.0
2009,관악구,550744.0,194.0,2.0,75.0,0.0,47.0,0.0,43.0,2.0,238.0,3.0,60.0,108.0,0.0,77.0,3.0,76.0,,,,,,,,,242.0,,,,,,,571.0,1342.0,66.0,610.0,2103.0,79.0,507.6,2.6,140.1,1979.0,2778.0,14.0
2010,관악구,546486.0,194.0,4.0,82.0,0.0,34.0,0.0,48.0,0.0,219.0,7.0,68.0,114.0,0.0,74.0,0.0,77.0,,,,,,,,,200.0,,,,,,,557.0,1238.0,56.0,590.0,1993.0,65.0,478.8,2.9,131.3,1851.0,2632.0,16.0
2011,관악구,548943.0,202.0,3.0,53.0,0.0,33.0,1.0,40.0,2.0,201.0,4.0,56.0,93.0,1.0,98.0,1.0,100.0,,,,,,,,,271.0,,,,,,,503.0,1170.0,64.0,534.0,1804.0,75.0,438.5,3.1,123.3,1737.0,2396.0,17.0
2012,관악구,543777.0,238.0,4.0,43.0,1.0,36.0,0.0,38.0,0.0,176.0,6.0,40.0,65.0,0.0,89.0,2.0,88.0,,,,,,,,,393.0,,,,,,,520.0,1131.0,62.0,538.0,1713.0,68.0,425.3,3.7,119.9,1713.0,2299.0,20.0
2013,관악구,538154.0,291.0,8.0,29.0,0.0,22.0,0.0,21.0,0.0,190.0,6.0,33.0,59.0,1.0,105.0,0.0,107.0,8.0,1489.0,128.0,72.0,12.0,2066.0,236.0,117.0,290.0,,,,,,,537.0,1151.0,65.0,561.0,1861.0,80.0,463.8,3.7,122.9,1753.0,2482.0,20.0
2014,관악구,533809.0,304.0,9.0,49.0,1.0,26.0,0.0,13.0,1.0,150.0,0.0,33.0,54.0,0.0,121.0,0.0,133.0,14.0,1434.0,103.0,56.0,18.0,1955.0,157.0,77.0,250.0,,,,,,,515.0,1125.0,76.0,549.0,1699.0,91.0,435.6,4.1,119.5,1716.0,2317.0,22.0
2015,관악구,531299.0,243.0,1.0,60.0,1.0,24.0,0.0,12.0,0.0,199.0,7.0,47.0,66.0,2.0,98.0,0.0,101.0,11.0,1424.0,107.0,44.0,15.0,1857.0,154.0,73.0,262.0,,,,,,,513.0,1057.0,55.0,552.0,1532.0,63.0,403.6,2.3,111.7,1625.0,2135.0,12.0
2016,관악구,528280.0,159.0,6.0,36.0,3.0,29.0,1.0,44.0,2.0,169.0,1.0,18.0,24.0,0.0,72.0,1.0,71.0,5.0,1216.0,68.0,37.0,5.0,1641.0,105.0,49.0,292.0,,,,,,,425.0,932.0,51.0,460.0,1371.0,83.0,360.5,3.6,95.9,1408.0,1895.0,19.0
2017,관악구,523288.0,139.0,3.0,33.0,0.0,15.0,0.0,35.0,3.0,151.0,4.0,19.0,25.0,0.0,56.0,0.0,60.0,9.0,1150.0,37.0,37.0,11.0,1521.0,57.0,53.0,254.0,67.0,800.0,20.0,86.0,1110.0,24.0,368.0,851.0,32.0,391.0,1243.0,36.0,318.5,2.1,85.3,1251.0,1659.0,11.0
2018,관악구,521494.0,141.0,2.0,30.0,0.0,31.0,2.0,45.0,1.0,118.0,2.0,21.0,36.0,0.0,56.0,1.0,55.0,5.0,1091.0,91.0,37.0,5.0,1436.0,124.0,63.0,310.0,78.0,877.0,22.0,95.0,1206.0,25.0,354.0,904.0,42.0,377.0,1298.0,50.0,330.2,1.5,89.1,1300.0,1717.0,8.0
2019,관악구,519449.0,152.0,2.0,25.0,0.0,15.0,0.0,44.0,2.0,123.0,2.0,23.0,27.0,1.0,74.0,1.0,79.0,4.0,1175.0,96.0,34.0,4.0,1514.0,127.0,41.0,275.0,90.0,863.0,26.0,107.0,1136.0,33.0,352.0,964.0,47.0,367.0,1347.0,51.0,339.2,1.9,94.3,1363.0,1755.0,10.0
2020,관악구,514334.0,145.0,4.0,26.0,0.0,18.0,1.0,38.0,0.0,115.0,2.0,23.0,27.0,1.0,77.0,3.0,75.0,5.0,1128.0,99.0,89.0,5.0,1436.0,123.0,111.0,199.0,68.0,915.0,37.0,78.0,1189.0,41.0,329.0,1087.0,28.0,346.0,1456.0,30.0,356.8,2.6,99.9,1444.0,1819.0,13.0
2021,관악구,501964.0,171.0,2.0,13.0,0.0,19.0,0.0,33.0,1.0,91.0,2.0,17.0,23.0,2.0,62.0,0.0,70.0,16.0,1175.0,94.0,92.0,19.0,1508.0,127.0,122.0,231.0,88.0,889.0,25.0,125.0,1147.0,30.0,315.0,1064.0,40.0,334.0,1454.0,49.0,366.2,1.6,101.8,1419.0,1829.0,8.0
2022,관악구,500788.0,145.0,1.0,14.0,0.0,23.0,0.0,41.0,0.0,70.0,5.0,29.0,38.0,0.0,57.0,1.0,60.0,4.0,1017.0,73.0,66.0,6.0,1356.0,85.0,81.0,278.0,85.0,727.0,28.0,118.0,973.0,34.0,283.0,851.0,38.0,304.0,1197.0,43.0,306.2,1.8,83.5,1172.0,1535.0,9.0
2023,관악구,500880.0,159.0,3.0,24.0,0.0,24.0,0.0,27.0,1.0,57.0,0.0,31.0,37.0,0.0,47.0,1.0,48.0,3.0,806.0,61.0,88.0,3.0,1044.0,77.0,113.0,247.0,74.0,583.0,16.0,87.0,789.0,24.0,286.0,671.0,23.0,309.0,930.0,23.0,251.5,2.0,70.0,980.0,1252.0,10.0
2024,관악구,496887.0,177.0,3.0,9.0,0.0,12.0,0.0,27.0,1.0,75.0,1.0,6.0,1.0,0.0,71.0,0.0,74.0,3.0,843.0,65.0,74.0,2.0,1052.0,63.0,89.0,281.0,,,,,,,301.0,821.0,36.0,320.0,1090.0,41.0,292.0,1.0,79.0,1159.0,1443.0,9.0
2025,관악구,497213.0,192.0,3.0,2.0,0.0,5.0,0.0,20.0,1.0,66.0,0.0,0.0,0.0,0.0,76.0,1.0,77.0,0.0,721.0,59.0,63.0,0.0,862.0,44.0,70.0,309.0,,,,,,,291.0,745.0,35.0,307.0,948.0,39.0,263.0,2.0,71.0,1071.0,1285.0,10.0
2026,관악구,497213.0,206.0,4.0,0.0,0.0,0.0,0.0,14.0,1.0,57.0,0.0,0.0,0.0,0.0,81.0,1.0,81.0,0.0,604.0,54.0,53.0,0.0,680.0,26.0,53.0,336.0,,,,,,,281.0,672.0,33.0,294.0,814.0,37.0,235.0,2.0,64.0,986.0,1135.0,11.0
2005,광진구,401563.0,182.0,4.0,3.0,0.0,17.0,0.0,20.0,0.0,136.0,8.0,94.0,135.0,1.0,102.0,1.0,107.0,,,,,,,,,,,,,,,,344.0,1195.0,25.0,369.0,1906.0,28.0,599.8,5.5,146.4,1564.0,2282.0,21.0
2006,광진구,398904.0,84.0,1.0,9.0,0.0,51.0,0.0,41.0,0.0,158.0,5.0,92.0,145.0,0.0,98.0,1.0,101.0,,,,,,,,,161.0,,,,,,,314.0,1258.0,28.0,350.0,1963.0,36.0,612.8,2.9,149.1,1600.0,2338.0,11.0
2007,광진구,396246.0,72.0,0.0,40.0,1.0,41.0,1.0,85.0,1.0,177.0,6.0,70.0,114.0,1.0,129.0,0.0,133.0,,,,,,,,,182.0,,,,,,,396.0,1250.0,29.0,417.0,1948.0,48.0,620.1,4.4,154.4,1675.0,2396.0,17.0
2008,광진구,388065.0,32.0,1.0,43.0,0.0,52.0,0.0,72.0,4.0,179.0,3.0,52.0,87.0,1.0,161.0,0.0,171.0,,,,,,,,,194.0,,,,,,,355.0,1253.0,40.0,378.0,2046.0,63.0,637.8,4.4,151.6,1648.0,2470.0,17.0
2009,광진구,387379.0,104.0,1.0,45.0,0.0,27.0,1.0,53.0,1.0,177.0,4.0,73.0,114.0,3.0,175.0,6.0,180.0,,,,,,,,,213.0,,,,,,,379.0,1240.0,37.0,404.0,1908.0,49.0,604.1,6.7,148.9,1656.0,2335.0,26.0
2010,광진구,386087.0,165.0,2.0,15.0,0.0,19.0,0.0,34.0,0.0,144.0,6.0,49.0,87.0,0.0,157.0,2.0,161.0,,,,,,,,,160.0,,,,,,,359.0,1148.0,33.0,376.0,1811.0,42.0,569.0,4.4,139.7,1540.0,2212.0,17.0
2011,광진구,387923.0,179.0,4.0,2.0,0.0,25.0,1.0,19.0,1.0,131.0,10.0,56.0,80.0,3.0,128.0,1.0,130.0,,,,,,,,,152.0,,,,,,,354.0,1035.0,41.0,372.0,1632.0,52.0,525.8,5.9,128.0,1430.0,2033.0,23.0
2012,광진구,385599.0,231.0,3.0,8.0,0.0,10.0,0.0,28.0,1.0,128.0,4.0,76.0,129.0,0.0,179.0,1.0,183.0,,,,,,,,,197.0,,,,,,,378.0,1081.0,35.0,405.0,1759.0,43.0,569.9,4.4,131.9,1494.0,2190.0,17.0
2013,광진구,382734.0,204.0,1.0,14.0,0.0,18.0,0.0,8.0,1.0,109.0,1.0,44.0,70.0,0.0,172.0,2.0,180.0,5.0,1155.0,96.0,36.0,7.0,1712.0,141.0,52.0,203.0,,,,,,,332.0,933.0,38.0,356.0,1522.0,48.0,502.3,2.6,114.3,1303.0,1916.0,10.0
2014,광진구,379486.0,228.0,2.0,7.0,0.0,24.0,1.0,14.0,0.0,137.0,4.0,35.0,59.0,0.0,223.0,1.0,246.0,10.0,1347.0,72.0,47.0,15.0,1896.0,113.0,65.0,231.0,,,,,,,390.0,1034.0,56.0,422.0,1608.0,63.0,551.4,3.2,130.3,1480.0,2081.0,12.0
2015,광진구,376238.0,158.0,3.0,18.0,0.0,19.0,0.0,38.0,0.0,107.0,4.0,42.0,64.0,1.0,198.0,1.0,217.0,2.0,1127.0,76.0,27.0,2.0,1596.0,113.0,47.0,222.0,,,,,,,332.0,854.0,49.0,361.0,1347.0,53.0,464.8,4.5,107.5,1235.0,1744.0,17.0
2016,광진구,373658.0,137.0,0.0,11.0,0.0,15.0,0.0,31.0,0.0,115.0,4.0,31.0,41.0,0.0,128.0,0.0,135.0,4.0,916.0,73.0,44.0,5.0,1278.0,106.0,76.0,188.0,,,,,,,295.0,708.0,42.0,308.0,1117.0,50.0,394.0,2.4,90.4,1045.0,1466.0,9.0
2017,광진구,372151.0,142.0,0.0,29.0,0.0,3.0,0.0,15.0,1.0,115.0,4.0,28.0,47.0,0.0,114.0,2.0,116.0,4.0,965.0,46.0,22.0,8.0,1328.0,57.0,34.0,191.0,50.0,686.0,21.0,61.0,1007.0,33.0,283.0,744.0,37.0,308.0,1106.0,43.0,387.1,4.3,90.9,1064.0,1441.0,16.0
2018,광진구,370813.0,90.0,1.0,49.0,2.0,18.0,0.0,24.0,1.0,101.0,2.0,32.0,51.0,0.0,115.0,2.0,121.0,6.0,981.0,77.0,33.0,13.0,1296.0,109.0,50.0,177.0,37.0,752.0,12.0,54.0,1037.0,21.0,266.0,810.0,32.0,292.0,1157.0,35.0,397.2,2.7,93.2,1108.0,1474.0,10.0
2019,광진구,368859.0,140.0,2.0,18.0,0.0,11.0,0.0,22.0,0.0,75.0,1.0,29.0,45.0,1.0,109.0,0.0,115.0,1.0,896.0,49.0,27.0,1.0,1225.0,60.0,33.0,171.0,41.0,642.0,22.0,64.0,905.0,29.0,260.0,682.0,31.0,270.0,1015.0,34.0,358.6,0.8,82.8,973.0,1316.0,3.0
2020,광진구,362986.0,104.0,1.0,6.0,0.0,15.0,0.0,20.0,0.0,127.0,3.0,29.0,45.0,1.0,92.0,0.0,97.0,0.0,795.0,49.0,25.0,0.0,1041.0,69.0,39.0,172.0,23.0,557.0,23.0,36.0,776.0,31.0,190.0,649.0,30.0,201.0,918.0,30.0,318.0,1.1,73.9,869.0,1145.0,4.0
2021,광진구,354376.0,122.0,1.0,20.0,0.0,17.0,0.0,20.0,0.0,37.0,1.0,31.0,39.0,1.0,121.0,0.0,133.0,1.0,837.0,54.0,16.0,1.0,1095.0,78.0,22.0,190.0,48.0,526.0,24.0,57.0,745.0,28.0,207.0,693.0,22.0,212.0,985.0,23.0,344.8,1.1,78.7,922.0,1216.0,4.0
2022,광진구,352057.0,98.0,2.0,7.0,0.0,13.0,0.0,8.0,1.0,43.0,3.0,25.0,42.0,1.0,69.0,0.0,73.0,3.0,657.0,20.0,25.0,3.0,896.0,32.0,40.0,133.0,28.0,445.0,8.0,47.0,645.0,9.0,167.0,528.0,13.0,180.0,780.0,15.0,275.0,2.6,60.2,708.0,966.0,9.0
2023,광진구,351221.0,121.0,2.0,7.0,0.0,22.0,0.0,13.0,0.0,22.0,1.0,17.0,24.0,1.0,69.0,0.0,75.0,3.0,622.0,39.0,43.0,4.0,788.0,41.0,56.0,181.0,27.0,476.0,13.0,28.0,624.0,19.0,186.0,517.0,14.0,188.0,700.0,15.0,256.0,1.1,61.4,717.0,899.0,4.0
2024,광진구,349722.0,120.0,1.0,15.0,0.0,10.0,0.0,10.0,0.0,44.0,0.0,10.0,15.0,0.0,101.0,0.0,110.0,0.0,573.0,26.0,25.0,1.0,691.0,27.0,33.0,175.0,,,,,,,186.0,491.0,24.0,194.0,675.0,25.0,256.0,1.0,56.0,703.0,890.0,4.0
2025,광진구,348660.0,133.0,1.0,13.0,0.0,6.0,0.0,5.0,0.0,39.0,0.0,7.0,9.0,0.0,102.0,0.0,110.0,0.0,510.0,21.0,24.0,0.0,578.0,15.0,30.0,176.0,,,,,,,183.0,438.0,26.0,191.0,585.0,25.0,234.0,0.0,50.0,648.0,799.0,3.0
2026,광진구,348660.0,156.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,3.0,3.0,0.0,105.0,0.0,113.0,0.0,446.0,17.0,23.0,0.0,457.0,2.0,27.0,178.0,,,,,,,186.0,379.0,29.0,195.0,487.0,27.0,211.0,0.0,44.0,595.0,708.0,1.0
2005,구로구,470228.0,125.0,5.0,13.0,0.0,29.0,1.0,44.0,0.0,150.0,8.0,58.0,87.0,1.0,69.0,2.0,78.0,,,,,,,,,,,,,,,,344.0,1012.0,31.0,373.0,1805.0,42.0,514.1,5.6,103.9,1387.0,2196.0,24.0
2006,구로구,467639.0,58.0,0.0,23.0,0.0,33.0,0.0,27.0,0.0,179.0,10.0,67.0,105.0,1.0,59.0,2.0,59.0,,,,,,,,,118.0,,,,,,,311.0,1045.0,40.0,330.0,1802.0,53.0,495.2,5.0,99.3,1396.0,2163.0,22.0
2007,구로구,465051.0,40.0,0.0,35.0,0.0,29.0,0.0,39.0,1.0,184.0,8.0,63.0,107.0,0.0,87.0,2.0,94.0,,,,,,,,,150.0,,,,,,,314.0,1126.0,39.0,337.0,1952.0,46.0,521.7,2.9,101.0,1479.0,2322.0,13.0
2008,구로구,449012.0,24.0,1.0,58.0,0.0,41.0,0.0,79.0,0.0,239.0,11.0,55.0,84.0,2.0,119.0,1.0,134.0,,,,,,,,,213.0,,,,,,,419.0,1106.0,52.0,454.0,1848.0,68.0,523.3,4.9,105.8,1577.0,2348.0,22.0
2009,구로구,449832.0,76.0,2.0,55.0,1.0,45.0,0.0,61.0,3.0,222.0,3.0,43.0,73.0,0.0,108.0,3.0,113.0,,,,,,,,,165.0,,,,,,,434.0,1096.0,53.0,470.0,1842.0,67.0,525.8,3.3,106.4,1583.0,2364.0,15.0
2010,구로구,449586.0,83.0,1.0,49.0,0.0,22.0,1.0,37.0,2.0,233.0,1.0,50.0,82.0,0.0,121.0,1.0,125.0,,,,,,,,,142.0,,,,,,,412.0,1108.0,48.0,434.0,1792.0,58.0,501.5,3.1,103.5,1568.0,2270.0,14.0
2011,구로구,455683.0,45.0,0.0,91.0,0.0,25.0,0.0,24.0,0.0,238.0,9.0,67.0,112.0,0.0,104.0,3.0,111.0,,,,,,,,,183.0,,,,,,,415.0,1065.0,62.0,442.0,1721.0,78.0,485.1,3.3,105.0,1542.0,2226.0,15.0
2012,구로구,457202.0,111.0,0.0,46.0,0.0,33.0,1.0,25.0,0.0,259.0,9.0,74.0,127.0,1.0,144.0,1.0,148.0,,,,,,,,,194.0,,,,,,,451.0,1072.0,59.0,494.0,1823.0,70.0,520.6,4.6,108.6,1582.0,2366.0,21.0
2013,구로구,453349.0,128.0,2.0,53.0,0.0,32.0,0.0,27.0,0.0,196.0,8.0,39.0,62.0,0.0,141.0,0.0,147.0,10.0,1240.0,102.0,61.0,13.0,1894.0,175.0,99.0,225.0,,,,,,,406.0,954.0,55.0,464.0,1653.0,67.0,478.8,4.2,94.6,1415.0,2165.0,19.0
2014,구로구,456758.0,189.0,5.0,33.0,1.0,22.0,0.0,14.0,0.0,210.0,6.0,45.0,67.0,0.0,194.0,2.0,220.0,11.0,1388.0,115.0,51.0,13.0,1945.0,194.0,71.0,162.0,,,,,,,452.0,1066.0,48.0,497.0,1667.0,60.0,482.4,4.2,102.2,1566.0,2205.0,19.0
2015,구로구,456525.0,161.0,5.0,27.0,0.0,22.0,0.0,37.0,2.0,204.0,7.0,55.0,94.0,0.0,170.0,1.0,183.0,4.0,1297.0,152.0,54.0,6.0,1846.0,213.0,80.0,203.0,,,,,,,438.0,1019.0,51.0,474.0,1618.0,54.0,467.9,4.2,97.4,1508.0,2127.0,19.0
2016,구로구,452283.0,164.0,2.0,22.0,0.0,24.0,0.0,64.0,0.0,176.0,3.0,32.0,48.0,0.0,179.0,2.0,189.0,7.0,1355.0,101.0,46.0,7.0,1931.0,133.0,75.0,227.0,,,,,,,435.0,1030.0,46.0,465.0,1628.0,55.0,475.8,2.0,96.3,1511.0,2139.0,9.0
2017,구로구,444622.0,119.0,3.0,25.0,0.0,21.0,0.0,39.0,2.0,175.0,4.0,61.0,101.0,0.0,128.0,2.0,130.0,11.0,1301.0,70.0,42.0,12.0,1772.0,110.0,64.0,241.0,82.0,897.0,35.0,99.0,1286.0,47.0,370.0,1015.0,48.0,399.0,1518.0,55.0,443.9,2.7,89.4,1433.0,1960.0,12.0
2018,구로구,439605.0,126.0,3.0,24.0,0.0,22.0,1.0,44.0,0.0,167.0,6.0,44.0,71.0,0.0,130.0,1.0,139.0,4.0,1375.0,108.0,34.0,7.0,1929.0,140.0,50.0,249.0,91.0,963.0,41.0,116.0,1384.0,52.0,376.0,1089.0,67.0,400.0,1662.0,80.0,485.5,3.0,95.6,1532.0,2129.0,13.0
2019,구로구,439359.0,178.0,2.0,23.0,0.0,23.0,0.0,31.0,0.0,165.0,6.0,35.0,40.0,0.0,139.0,1.0,148.0,1.0,1353.0,92.0,32.0,1.0,1849.0,145.0,44.0,237.0,91.0,939.0,40.0,120.0,1361.0,46.0,408.0,1074.0,47.0,429.0,1627.0,53.0,477.0,3.0,95.5,1529.0,2096.0,13.0
2020,구로구,435813.0,108.0,0.0,19.0,0.0,42.0,0.0,33.0,1.0,111.0,1.0,35.0,40.0,0.0,105.0,1.0,115.0,1.0,1180.0,93.0,45.0,1.0,1607.0,145.0,61.0,145.0,87.0,831.0,30.0,105.0,1194.0,40.0,296.0,973.0,56.0,315.0,1443.0,62.0,418.5,2.3,82.2,1325.0,1810.0,10.0
2021,구로구,423695.0,141.0,0.0,19.0,2.0,34.0,0.0,29.0,0.0,67.0,0.0,42.0,53.0,0.0,128.0,1.0,134.0,7.0,1198.0,93.0,22.0,9.0,1545.0,122.0,26.0,151.0,83.0,818.0,39.0,108.0,1077.0,43.0,274.0,1042.0,34.0,289.0,1408.0,41.0,410.5,2.1,84.0,1350.0,1729.0,9.0
2022,구로구,418420.0,134.0,1.0,22.0,0.0,39.0,0.0,16.0,1.0,84.0,1.0,34.0,51.0,0.0,135.0,1.0,152.0,5.0,1135.0,69.0,23.0,7.0,1519.0,97.0,27.0,200.0,97.0,757.0,38.0,128.0,1039.0,51.0,291.0,935.0,48.0,306.0,1343.0,54.0,404.1,2.9,77.9,1274.0,1691.0,12.0
2023,구로구,417055.0,158.0,0.0,19.0,0.0,20.0,0.0,25.0,0.0,120.0,1.0,38.0,54.0,0.0,136.0,0.0,148.0,3.0,1231.0,88.0,31.0,3.0,1657.0,129.0,48.0,181.0,131.0,833.0,36.0,169.0,1176.0,42.0,338.0,988.0,33.0,350.0,1459.0,36.0,442.7,1.2,83.5,1359.0,1840.0,5.0
2024,구로구,412931.0,137.0,0.0,25.0,0.0,32.0,0.0,31.0,0.0,100.0,0.0,31.0,40.0,0.0,137.0,0.0,149.0,2.0,1177.0,73.0,19.0,3.0,1524.0,98.0,23.0,197.0,,,,,,,318.0,1000.0,46.0,332.0,1381.0,52.0,417.0,1.0,80.0,1365.0,1759.0,6.0
2025,구로구,410727.0,143.0,0.0,23.0,0.0,32.0,0.0,30.0,0.0,95.0,0.0,30.0,37.0,0.0,141.0,0.0,152.0,0.0,1180.0,73.0,16.0,0.0,1502.0,94.0,18.0,200.0,,,,,,,316.0,995.0,46.0,329.0,1354.0,51.0,411.0,1.0,79.0,1358.0,1729.0,6.0
2026,구로구,410727.0,156.0,0.0,20.0,0.0,30.0,0.0,28.0,0.0,92.0,0.0,29.0,36.0,0.0,148.0,0.0,161.0,0.0,1204.0,76.0,14.0,0.0,1500.0,93.0,13.0,206.0,,,,,,,320.0,988.0,47.0,334.0,1328.0,51.0,406.0,1.0,78.0,1356.0,1709.0,5.0
2005,금천구,272655.0,88.0,3.0,13.0,0.0,11.0,0.0,18.0,1.0,79.0,4.0,64.0,89.0,2.0,23.0,2.0,23.0,,,,,,,,,,,,,,,,195.0,586.0,21.0,203.0,1081.0,29.0,491.8,5.7,99.7,802.0,1298.0,15.0
2006,금천구,271029.0,63.0,0.0,35.0,0.0,9.0,0.0,7.0,0.0,149.0,4.0,60.0,90.0,0.0,31.0,0.0,33.0,,,,,,,,,69.0,,,,,,,250.0,609.0,12.0,262.0,1105.0,18.0,520.9,3.8,107.2,871.0,1375.0,10.0
