구,항목,모델,R2,학습데이터수
종로구,화물계_발생건수,선형회귀,0.0701,7
중구,화물계_발생건수,선형회귀,0.1879,7
중랑구,화물계_발생건수,선형회귀,0.062,7
강남구,화물계_사상자수,선형회귀,0.4468,7
강동구,화물계_사상자수,선형회귀,0.11,7
강북구,화물계_사상자수,선형회귀,0.0308,7
강서구,화물계_사상자수,선형회귀,0.6849,7
관악구,화물계_사상자수,선형회귀,0.0679,7
광진구,화물계_사상자수,선형회귀,0.3748,7
구로구,화물계_사상자수,선형회귀,0.5015,7
금천구,화물계_사상자수,선형회귀,0.4454,7
노원구,화물계_사상자수,선형회귀,0.324,7
도봉구,화물계_사상자수,선형회귀,0.7356,7
동대문구,화물계_사상자수,선형회귀,0.744,7
동작구,화물계_사상자수,선형회귀,0.7277,7
마포구,화물계_사상자수,선형회귀,0.0048,7
서대문구,화물계_사상자수,선형회귀,0.246,7
서초구,화물계_사상자수,선형회귀,0.0126,7
성동구,화물계_사상자수,선형회귀,0.6497,7
성북구,화물계_사상자수,선형회귀,0.4041,7
송파구,화물계_사상자수,선형회귀,0.4774,7
양천구,화물계_사상자수,선형회귀,0.1481,7
영등포구,화물계_사상자수,선형회귀,0.4528,7
용산구,화물계_사상자수,선형회귀,0.3115,7
은평구,화물계_사상자수,선형회귀,0.1638,7
종로구,화물계_사상자수,선형회귀,0.2912,7
중구,화물계_사상자수,선형회귀,0.2666,7
중랑구,화물계_사상자수,선형회귀,0.0543,7
